MakeM;BatCap;BatCapNameplate;EffCharAC;EffDischarAC;EffCharDC;EffDischarDC;MaxChPwrAC;MaxChPwrDC;MaxDischPwrAC;MaxDischPwrDC
5f75a2dd89804d7aa5bd9037;12;;;;;;;;;
5f75ba4989804d7aa5bd903a;12;;;;;;;;;
5f75bb2b89804d7aa5bd903d;12;;;;;;;;;
5f75ca3e89804d7aa5bd9040;50;;;;;;;;;
5f9818bdfb396f3f45d9722b;120;;;;;;;;;
5f9820d7fb396f3f45d9722e;200;;;;;;;;;
5fbd7a004fd79430966b8bf2;0;;;;;;;;;
5fcf827d4fd79430966bd42f;62;;;;;;;;;
5ff362bf4fd79430966bfe25;25;;;;;;;;;
5ff36d7d4fd79430966bfe28;120;;;;;;;;;
5ff62c66eda1382b2382bd03;120;;;;;;;;;
5ff72af351ec94729bb8071d;120;;;;;;;;;
5ff72d4163f80d5ecdf63316;120;;;;;;;;;
5ff72d8463f80d5ecdf63319;120;;;;;;;;;
5ff72f2693c63f66bc57ce5e;120;;;;;;;;;
5ff7308393c63f66bc57ce61;120;;;;;;;;;
5ff7417a2a485347f4890ca4;40;;;;;;;;;
5ff7435c2a485347f4890ca7;60;;;;;;;;;
5ffeb20faa92b82206f25e7b;27;;;;;;;;;
601ffbcb561afc628bc2cabc;16;;;;;;;;;
6029157506a9486a3127e205;12;;;;;;;;;
60294a27057f38413a8cfd51;12;;;;;;;;;
6050df4a7ae77b6ee7595856;40;;;;;;;;;
6050f1417ae77b6ee75959cc;16;;;;;;;;;
6050f8a07ae77b6ee7595a37;62;;;;;;;;;
6050f8a27ae77b6ee7595a3a;16;;;;;;;;;
60512c657ae77b6ee7595d92;44;;;;;;;;;
6051e5617ae77b6ee7596c57;13;;;;;;;;;
6052213ef95ccf583fa12525;460;;;;;;;;;
605396ebf95ccf583fa13d21;65;;;;;;;;;
6057b72ef95ccf583fa177c7;80;;;;;;;;;
606c67c363fd037324440a8c;20;;;;;;;;;
6076fbed63fd037324449148;80;;;;;;;;;
609049b863fd03732445cf3d;65;;;;;;;;;
6092a3ba63fd03732445f7a6;240;;;;;;;;;
