CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
7b4e3fd3;P1D1L1;8285893170973259;20210226T131301;5ff7435c2a485347f4890ca7;20210226T131216;20210226T195216;52.0;87.0;0 days 06:40:00;;;;;V1.3(4);15.026
20210226T131216;0.0;;;;;;;;;;;;;;
20210226T131716;0.584;;;;;;;;;;;;;;
20210226T132216;1.178;;;;;;;;;;;;;;
20210226T132716;1.77;;;;;;;;;;;;;;
20210226T133216;2.362;;;;;;;;;;;;;;
20210226T133716;2.953;;;;;;;;;;;;;;
20210226T134216;3.543;;;;;;;;;;;;;;
20210226T134716;4.133;;;;;;;;;;;;;;
20210226T135216;4.722;;;;;;;;;;;;;;
20210226T135716;5.312;;;;;;;;;;;;;;
20210226T140216;5.901;;;;;;;;;;;;;;
20210226T140716;6.49;;;;;;;;;;;;;;
20210226T141216;6.812;;;;;;;;;;;;;;
20210226T141716;7.29;;;;;;;;;;;;;;
20210226T142216;7.769;;;;;;;;;;;;;;
20210226T142716;8.247;;;;;;;;;;;;;;
20210226T143216;8.726;;;;;;;;;;;;;;
20210226T143716;9.242;;;;;;;;;;;;;;
20210226T144216;9.776;;;;;;;;;;;;;;
20210226T144716;10.309;;;;;;;;;;;;;;
20210226T145216;10.843;;;;;;;;;;;;;;
20210226T145716;11.376;;;;;;;;;;;;;;
20210226T150216;11.909;;;;;;;;;;;;;;
20210226T150716;12.331;;;;;;;;;;;;;;
20210226T151216;12.648;;;;;;;;;;;;;;
20210226T151716;12.894;;;;;;;;;;;;;;
20210226T152216;13.089;;;;;;;;;;;;;;
20210226T152716;13.246;;;;;;;;;;;;;;
20210226T153216;13.363;;;;;;;;;;;;;;
20210226T153716;13.527;;;;;;;;;;;;;;
20210226T154216;13.692;;;;;;;;;;;;;;
20210226T154716;13.845;;;;;;;;;;;;;;
20210226T155216;13.977;;;;;;;;;;;;;;
20210226T155716;14.095;;;;;;;;;;;;;;
20210226T160216;14.21;;;;;;;;;;;;;;
20210226T160716;14.236;;;;;;;;;;;;;;
20210226T161216;14.236;;;;;;;;;;;;;;
20210226T161716;14.236;;;;;;;;;;;;;;
20210226T162216;14.236;;;;;;;;;;;;;;
20210226T162716;14.236;;;;;;;;;;;;;;
20210226T163216;14.236;;;;;;;;;;;;;;
20210226T163716;14.236;;;;;;;;;;;;;;
20210226T164216;14.313;;;;;;;;;;;;;;
20210226T164716;14.416;;;;;;;;;;;;;;
20210226T165216;14.52;;;;;;;;;;;;;;
20210226T165716;14.624;;;;;;;;;;;;;;
20210226T170216;14.728;;;;;;;;;;;;;;
20210226T170716;14.738;;;;;;;;;;;;;;
20210226T171216;14.738;;;;;;;;;;;;;;
20210226T171716;14.738;;;;;;;;;;;;;;
20210226T172216;14.738;;;;;;;;;;;;;;
20210226T172716;14.738;;;;;;;;;;;;;;
20210226T173216;14.738;;;;;;;;;;;;;;
20210226T173716;14.738;;;;;;;;;;;;;;
20210226T174216;14.827;;;;;;;;;;;;;;
20210226T174716;14.845;;;;;;;;;;;;;;
20210226T175216;14.845;;;;;;;;;;;;;;
20210226T175716;14.845;;;;;;;;;;;;;;
20210226T180216;14.845;;;;;;;;;;;;;;
20210226T180716;14.845;;;;;;;;;;;;;;
20210226T181216;14.845;;;;;;;;;;;;;;
20210226T181716;14.845;;;;;;;;;;;;;;
20210226T182216;14.898;;;;;;;;;;;;;;
20210226T182716;14.898;;;;;;;;;;;;;;
20210226T183216;14.898;;;;;;;;;;;;;;
20210226T183716;14.898;;;;;;;;;;;;;;
20210226T184216;14.898;;;;;;;;;;;;;;
20210226T184716;14.898;;;;;;;;;;;;;;
20210226T185216;14.898;;;;;;;;;;;;;;
20210226T185716;14.922;;;;;;;;;;;;;;
20210226T190216;14.975;;;;;;;;;;;;;;
20210226T190716;14.975;;;;;;;;;;;;;;
20210226T191216;14.975;;;;;;;;;;;;;;
20210226T191716;14.975;;;;;;;;;;;;;;
20210226T192216;14.975;;;;;;;;;;;;;;
20210226T192716;14.975;;;;;;;;;;;;;;
20210226T193216;14.975;;;;;;;;;;;;;;
20210226T193716;15.021;;;;;;;;;;;;;;
20210226T194216;15.026;;;;;;;;;;;;;;
20210226T194716;15.026;;;;;;;;;;;;;;
20210226T195216;15.026;;;;;;;;;;;;;;
