CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
cf4a9413;P1D1L1;5313454946141717;20210315T121232;5ff7417a2a485347f4890ca4;20210315T121240;20210315T141240;66.0;100.0;0 days 02:00:00;;;;;V1.4(5);11.756
20210315T121240;0.144;;;;;;;;;;;;;;
20210315T121740;0.668;;;;;;;;;;;;;;
20210315T122240;1.192;;;;;;;;;;;;;;
20210315T122740;1.715;;;;;;;;;;;;;;
20210315T123240;2.238;;;;;;;;;;;;;;
20210315T123740;2.761;;;;;;;;;;;;;;
20210315T124240;3.284;;;;;;;;;;;;;;
20210315T124740;3.806;;;;;;;;;;;;;;
20210315T125240;4.328;;;;;;;;;;;;;;
20210315T125740;4.85;;;;;;;;;;;;;;
20210315T130240;5.372;;;;;;;;;;;;;;
20210315T130740;5.893;;;;;;;;;;;;;;
20210315T131240;6.414;;;;;;;;;;;;;;
20210315T131740;6.936;;;;;;;;;;;;;;
20210315T132240;7.458;;;;;;;;;;;;;;
20210315T132740;7.979;;;;;;;;;;;;;;
20210315T133240;8.5;;;;;;;;;;;;;;
20210315T133740;9.021;;;;;;;;;;;;;;
20210315T134240;9.543;;;;;;;;;;;;;;
20210315T134740;10.066;;;;;;;;;;;;;;
20210315T135240;10.573;;;;;;;;;;;;;;
20210315T135740;11.022;;;;;;;;;;;;;;
20210315T140240;11.384;;;;;;;;;;;;;;
20210315T140740;11.674;;;;;;;;;;;;;;
20210315T141240;11.9;;;;;;;;;;;;;;
