CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
7cd4fa73;P1D1L1;727474198104623;20210316T220946;60512c657ae77b6ee7595d92;20210316T214137;20210317T120137;41.0;100.0;0 days 14:20:00;;;;;V1.4(5);24.454
20210316T214137;0.0;;;;;;;;;;;;;;
20210316T214637;0.533;;;;;;;;;;;;;;
20210316T215137;1.08;;;;;;;;;;;;;;
20210316T215637;1.629;;;;;;;;;;;;;;
20210316T220137;2.178;;;;;;;;;;;;;;
20210316T220637;2.725;;;;;;;;;;;;;;
20210316T221137;3.272;;;;;;;;;;;;;;
20210316T221637;3.818;;;;;;;;;;;;;;
20210316T222137;4.01;;;;;;;;;;;;;;
20210316T222637;4.255;;;;;;;;;;;;;;
20210316T223137;4.499;;;;;;;;;;;;;;
20210316T223637;4.745;;;;;;;;;;;;;;
20210316T224137;4.99;;;;;;;;;;;;;;
20210316T224637;5.235;;;;;;;;;;;;;;
20210316T225137;5.48;;;;;;;;;;;;;;
20210316T225637;5.725;;;;;;;;;;;;;;
20210316T230137;5.971;;;;;;;;;;;;;;
20210316T230637;6.216;;;;;;;;;;;;;;
20210316T231137;6.462;;;;;;;;;;;;;;
20210316T231637;6.707;;;;;;;;;;;;;;
20210316T232137;6.952;;;;;;;;;;;;;;
20210316T232637;7.198;;;;;;;;;;;;;;
20210316T233137;7.443;;;;;;;;;;;;;;
20210316T233637;7.689;;;;;;;;;;;;;;
20210316T234137;7.935;;;;;;;;;;;;;;
20210316T234637;8.181;;;;;;;;;;;;;;
20210316T235137;8.427;;;;;;;;;;;;;;
20210316T235637;8.673;;;;;;;;;;;;;;
20210317T000137;8.918;;;;;;;;;;;;;;
20210317T000637;9.14;;;;;;;;;;;;;;
20210317T001137;9.385;;;;;;;;;;;;;;
20210317T001637;9.63;;;;;;;;;;;;;;
20210317T002137;9.876;;;;;;;;;;;;;;
20210317T002637;10.121;;;;;;;;;;;;;;
20210317T003137;10.367;;;;;;;;;;;;;;
20210317T003637;10.612;;;;;;;;;;;;;;
20210317T004137;10.858;;;;;;;;;;;;;;
20210317T004637;11.103;;;;;;;;;;;;;;
20210317T005137;11.348;;;;;;;;;;;;;;
20210317T005637;11.594;;;;;;;;;;;;;;
20210317T010137;11.839;;;;;;;;;;;;;;
20210317T010637;12.084;;;;;;;;;;;;;;
20210317T011137;12.33;;;;;;;;;;;;;;
20210317T011637;12.576;;;;;;;;;;;;;;
20210317T012137;12.821;;;;;;;;;;;;;;
20210317T012637;13.067;;;;;;;;;;;;;;
20210317T013137;13.312;;;;;;;;;;;;;;
20210317T013637;13.557;;;;;;;;;;;;;;
20210317T014137;13.803;;;;;;;;;;;;;;
20210317T014637;14.048;;;;;;;;;;;;;;
20210317T015137;14.293;;;;;;;;;;;;;;
20210317T015637;14.538;;;;;;;;;;;;;;
20210317T020137;14.784;;;;;;;;;;;;;;
20210317T020637;15.029;;;;;;;;;;;;;;
20210317T021137;15.274;;;;;;;;;;;;;;
20210317T021637;15.519;;;;;;;;;;;;;;
20210317T022137;15.764;;;;;;;;;;;;;;
20210317T022637;16.009;;;;;;;;;;;;;;
20210317T023137;16.254;;;;;;;;;;;;;;
20210317T023637;16.5;;;;;;;;;;;;;;
20210317T024137;16.745;;;;;;;;;;;;;;
20210317T024637;16.99;;;;;;;;;;;;;;
20210317T025137;17.236;;;;;;;;;;;;;;
20210317T025637;17.481;;;;;;;;;;;;;;
20210317T030137;17.727;;;;;;;;;;;;;;
20210317T030637;17.973;;;;;;;;;;;;;;
20210317T031137;18.219;;;;;;;;;;;;;;
20210317T031637;18.465;;;;;;;;;;;;;;
20210317T032137;18.712;;;;;;;;;;;;;;
20210317T032637;18.958;;;;;;;;;;;;;;
20210317T033137;19.205;;;;;;;;;;;;;;
20210317T033637;19.452;;;;;;;;;;;;;;
20210317T034137;19.698;;;;;;;;;;;;;;
20210317T034637;19.945;;;;;;;;;;;;;;
20210317T035137;20.192;;;;;;;;;;;;;;
20210317T035637;20.438;;;;;;;;;;;;;;
20210317T040137;20.685;;;;;;;;;;;;;;
20210317T040637;20.931;;;;;;;;;;;;;;
20210317T041137;21.178;;;;;;;;;;;;;;
20210317T041637;21.39;;;;;;;;;;;;;;
20210317T042137;21.597;;;;;;;;;;;;;;
20210317T042637;21.793;;;;;;;;;;;;;;
20210317T043137;21.99;;;;;;;;;;;;;;
20210317T043637;22.184;;;;;;;;;;;;;;
20210317T044137;22.326;;;;;;;;;;;;;;
20210317T044637;22.358;;;;;;;;;;;;;;
20210317T045137;22.389;;;;;;;;;;;;;;
20210317T045637;22.421;;;;;;;;;;;;;;
20210317T050137;22.451;;;;;;;;;;;;;;
20210317T050637;22.482;;;;;;;;;;;;;;
20210317T051137;22.513;;;;;;;;;;;;;;
20210317T051637;22.545;;;;;;;;;;;;;;
20210317T052137;22.575;;;;;;;;;;;;;;
20210317T052637;22.606;;;;;;;;;;;;;;
20210317T053137;22.638;;;;;;;;;;;;;;
20210317T053637;22.669;;;;;;;;;;;;;;
20210317T054137;22.699;;;;;;;;;;;;;;
20210317T054637;22.731;;;;;;;;;;;;;;
20210317T055137;22.763;;;;;;;;;;;;;;
20210317T055637;22.794;;;;;;;;;;;;;;
20210317T060137;22.826;;;;;;;;;;;;;;
20210317T060637;22.858;;;;;;;;;;;;;;
20210317T061137;22.889;;;;;;;;;;;;;;
20210317T061637;22.921;;;;;;;;;;;;;;
20210317T062137;22.953;;;;;;;;;;;;;;
20210317T062637;22.984;;;;;;;;;;;;;;
20210317T063137;23.015;;;;;;;;;;;;;;
20210317T063637;23.047;;;;;;;;;;;;;;
20210317T064137;23.078;;;;;;;;;;;;;;
20210317T064637;23.11;;;;;;;;;;;;;;
20210317T065137;23.141;;;;;;;;;;;;;;
20210317T065637;23.173;;;;;;;;;;;;;;
20210317T070137;23.204;;;;;;;;;;;;;;
