CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
14c0911f;P1D1L1;8197355672455130;20210417T050322;;20210417T050141;20210417T083701;19.0;63.0;0 days 03:35:20;;;;;V1.4(5);20.991
20210417T050141;0.0;;;;;;;;;;;;;;
20210417T050641;0.512;;;;;;;;;;;;;;
20210417T051141;1.027;;;;;;;;;;;;;;
20210417T051641;1.315;;;;;;;;;;;;;;
20210417T052141;1.79;;;;;;;;;;;;;;
20210417T052641;2.304;;;;;;;;;;;;;;
20210417T053141;2.818;;;;;;;;;;;;;;
20210417T053641;3.332;;;;;;;;;;;;;;
20210417T054141;3.847;;;;;;;;;;;;;;
20210417T054641;4.36;;;;;;;;;;;;;;
20210417T055141;4.875;;;;;;;;;;;;;;
20210417T055646;5.398;;;;;;;;;;;;;;
20210417T060146;5.913;;;;;;;;;;;;;;
20210417T060646;6.428;;;;;;;;;;;;;;
20210417T061146;6.944;;;;;;;;;;;;;;
20210417T061646;7.46;;;;;;;;;;;;;;
20210417T062146;7.973;;;;;;;;;;;;;;
20210417T062646;8.486;;;;;;;;;;;;;;
20210417T063146;9.001;;;;;;;;;;;;;;
20210417T063646;9.517;;;;;;;;;;;;;;
20210417T064146;10.03;;;;;;;;;;;;;;
20210417T064646;10.543;;;;;;;;;;;;;;
20210417T065146;11.056;;;;;;;;;;;;;;
20210417T065646;11.569;;;;;;;;;;;;;;
20210417T070146;12.082;;;;;;;;;;;;;;
20210417T070646;12.469;;;;;;;;;;;;;;
20210417T071146;12.833;;;;;;;;;;;;;;
20210417T071646;13.201;;;;;;;;;;;;;;
20210417T072146;13.573;;;;;;;;;;;;;;
20210417T072646;14.081;;;;;;;;;;;;;;
20210417T073151;14.549;;;;;;;;;;;;;;
20210417T073651;14.97;;;;;;;;;;;;;;
20210417T074151;15.48;;;;;;;;;;;;;;
20210417T074651;15.99;;;;;;;;;;;;;;
20210417T075151;16.5;;;;;;;;;;;;;;
20210417T075656;17.018;;;;;;;;;;;;;;
20210417T080156;17.529;;;;;;;;;;;;;;
20210417T080656;18.041;;;;;;;;;;;;;;
20210417T081156;18.554;;;;;;;;;;;;;;
20210417T081656;19.067;;;;;;;;;;;;;;
20210417T082200;19.588;;;;;;;;;;;;;;
20210417T082701;20.1;;;;;;;;;;;;;;
20210417T083201;20.553;;;;;;;;;;;;;;
20210417T083701;20.991;;;;;;;;;;;;;;
