CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
19bb314f;P1D1L1;3261380695704104;20210511T191850;6052213ef95ccf583fa12525;20210511T191845;20210512T045845;16.0;100.0;0 days 09:40:00;;;;;V1.4(5);49.89
20210511T191845;0.0;;;;;;;;;;;;;;
20210511T192345;0.585;;;;;;;;;;;;;;
20210511T192845;1.202;;;;;;;;;;;;;;
20210511T193345;1.82;;;;;;;;;;;;;;
20210511T193845;2.437;;;;;;;;;;;;;;
20210511T194345;3.055;;;;;;;;;;;;;;
20210511T194845;3.673;;;;;;;;;;;;;;
20210511T195345;4.291;;;;;;;;;;;;;;
20210511T195845;4.908;;;;;;;;;;;;;;
20210511T200345;5.526;;;;;;;;;;;;;;
20210511T200845;6.144;;;;;;;;;;;;;;
20210511T201345;6.762;;;;;;;;;;;;;;
20210511T201845;7.38;;;;;;;;;;;;;;
20210511T202345;7.998;;;;;;;;;;;;;;
20210511T202845;8.616;;;;;;;;;;;;;;
20210511T203345;9.235;;;;;;;;;;;;;;
20210511T203845;9.65;;;;;;;;;;;;;;
20210511T204345;10.257;;;;;;;;;;;;;;
20210511T204845;10.876;;;;;;;;;;;;;;
20210511T205345;11.494;;;;;;;;;;;;;;
20210511T205845;12.113;;;;;;;;;;;;;;
20210511T210345;12.731;;;;;;;;;;;;;;
20210511T210845;13.35;;;;;;;;;;;;;;
20210511T211345;13.969;;;;;;;;;;;;;;
20210511T211845;14.587;;;;;;;;;;;;;;
20210511T212345;15.205;;;;;;;;;;;;;;
20210511T212845;15.813;;;;;;;;;;;;;;
20210511T213345;16.231;;;;;;;;;;;;;;
20210511T213845;16.849;;;;;;;;;;;;;;
20210511T214345;17.468;;;;;;;;;;;;;;
20210511T214845;17.888;;;;;;;;;;;;;;
20210511T215345;18.493;;;;;;;;;;;;;;
20210511T215845;19.111;;;;;;;;;;;;;;
20210511T220345;19.729;;;;;;;;;;;;;;
20210511T220845;20.348;;;;;;;;;;;;;;
20210511T221345;20.966;;;;;;;;;;;;;;
20210511T221845;21.585;;;;;;;;;;;;;;
20210511T222345;22.204;;;;;;;;;;;;;;
20210511T222845;22.823;;;;;;;;;;;;;;
20210511T223345;23.441;;;;;;;;;;;;;;
20210511T223845;23.871;;;;;;;;;;;;;;
20210511T224345;24.466;;;;;;;;;;;;;;
20210511T224845;25.085;;;;;;;;;;;;;;
20210511T225345;25.704;;;;;;;;;;;;;;
20210511T225845;26.323;;;;;;;;;;;;;;
20210511T230345;26.941;;;;;;;;;;;;;;
20210511T230845;27.41;;;;;;;;;;;;;;
20210511T231345;27.948;;;;;;;;;;;;;;
20210511T231845;28.567;;;;;;;;;;;;;;
20210511T232345;29.185;;;;;;;;;;;;;;
20210511T232845;29.803;;;;;;;;;;;;;;
20210511T233345;30.251;;;;;;;;;;;;;;
20210511T233845;30.825;;;;;;;;;;;;;;
20210511T234345;31.443;;;;;;;;;;;;;;
20210511T234845;32.061;;;;;;;;;;;;;;
20210511T235345;32.68;;;;;;;;;;;;;;
20210511T235845;33.117;;;;;;;;;;;;;;
