CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
8a5ab27c;P1D1L1;2074243149614721;20210520T164523;6050df4a7ae77b6ee7595856;20210520T164420;20210521T044420;80.0;100.0;0 days 12:00:00;;;;;V1.4(5);7.903
20210520T164420;0.0;;;;;;;;;;;;;;
20210520T164920;0.505;;;;;;;;;;;;;;
20210520T165420;1.017;;;;;;;;;;;;;;
20210520T165920;1.529;;;;;;;;;;;;;;
20210520T170420;2.041;;;;;;;;;;;;;;
20210520T170920;2.553;;;;;;;;;;;;;;
20210520T171420;3.066;;;;;;;;;;;;;;
20210520T171920;3.578;;;;;;;;;;;;;;
20210520T172420;4.091;;;;;;;;;;;;;;
20210520T172920;4.603;;;;;;;;;;;;;;
20210520T173420;5.116;;;;;;;;;;;;;;
20210520T173920;5.63;;;;;;;;;;;;;;
20210520T174420;6.138;;;;;;;;;;;;;;
20210520T174920;6.574;;;;;;;;;;;;;;
20210520T175420;6.933;;;;;;;;;;;;;;
20210520T175920;7.18;;;;;;;;;;;;;;
20210520T180420;7.34;;;;;;;;;;;;;;
20210520T180920;7.457;;;;;;;;;;;;;;
20210520T181420;7.549;;;;;;;;;;;;;;
20210520T181920;7.626;;;;;;;;;;;;;;
20210520T182420;7.69;;;;;;;;;;;;;;
20210520T182920;7.731;;;;;;;;;;;;;;
20210520T183420;7.767;;;;;;;;;;;;;;
20210520T183920;7.801;;;;;;;;;;;;;;
20210520T184420;7.843;;;;;;;;;;;;;;
20210520T184920;7.86;;;;;;;;;;;;;;
20210520T185420;7.903;;;;;;;;;;;;;;
20210520T185920;7.903;;;;;;;;;;;;;;
20210520T190420;7.903;;;;;;;;;;;;;;
20210520T190920;7.903;;;;;;;;;;;;;;
20210520T191420;7.903;;;;;;;;;;;;;;
20210520T191920;7.903;;;;;;;;;;;;;;
20210520T192420;7.903;;;;;;;;;;;;;;
20210520T192920;7.903;;;;;;;;;;;;;;
20210520T193420;7.903;;;;;;;;;;;;;;
20210520T193920;7.903;;;;;;;;;;;;;;
20210520T194420;7.903;;;;;;;;;;;;;;
20210520T194920;7.903;;;;;;;;;;;;;;
20210520T195420;7.903;;;;;;;;;;;;;;
20210520T195920;7.903;;;;;;;;;;;;;;
20210520T200420;7.903;;;;;;;;;;;;;;
20210520T200920;7.903;;;;;;;;;;;;;;
20210520T201420;7.903;;;;;;;;;;;;;;
20210520T201920;7.903;;;;;;;;;;;;;;
20210520T202420;7.903;;;;;;;;;;;;;;
20210520T202920;7.903;;;;;;;;;;;;;;
20210520T203420;7.903;;;;;;;;;;;;;;
20210520T203920;7.903;;;;;;;;;;;;;;
20210520T204420;7.903;;;;;;;;;;;;;;
20210520T204920;7.903;;;;;;;;;;;;;;
20210520T205420;7.903;;;;;;;;;;;;;;
20210520T205920;7.903;;;;;;;;;;;;;;
20210520T210420;7.903;;;;;;;;;;;;;;
20210520T210920;7.903;;;;;;;;;;;;;;
20210520T211420;7.903;;;;;;;;;;;;;;
20210520T211920;7.903;;;;;;;;;;;;;;
20210520T212420;7.903;;;;;;;;;;;;;;
20210520T212920;7.903;;;;;;;;;;;;;;
20210520T213420;7.903;;;;;;;;;;;;;;
20210520T213920;7.903;;;;;;;;;;;;;;
20210520T214420;7.903;;;;;;;;;;;;;;
20210520T214920;7.903;;;;;;;;;;;;;;
20210520T215420;7.903;;;;;;;;;;;;;;
20210520T215920;7.903;;;;;;;;;;;;;;
20210520T220420;7.903;;;;;;;;;;;;;;
20210520T220920;7.903;;;;;;;;;;;;;;
20210520T221420;7.903;;;;;;;;;;;;;;
20210520T221920;7.903;;;;;;;;;;;;;;
20210520T222420;7.903;;;;;;;;;;;;;;
20210520T222920;7.903;;;;;;;;;;;;;;
20210520T223420;7.903;;;;;;;;;;;;;;
20210520T224420;7.903;;;;;;;;;;;;;;
20210520T224920;7.903;;;;;;;;;;;;;;
20210520T225420;7.903;;;;;;;;;;;;;;
20210520T225920;7.903;;;;;;;;;;;;;;
20210520T230420;7.903;;;;;;;;;;;;;;
20210520T230920;7.903;;;;;;;;;;;;;;
20210520T231420;7.903;;;;;;;;;;;;;;
20210520T231920;7.903;;;;;;;;;;;;;;
20210520T232420;7.903;;;;;;;;;;;;;;
20210520T232920;7.903;;;;;;;;;;;;;;
20210520T233420;7.903;;;;;;;;;;;;;;
20210520T233920;7.903;;;;;;;;;;;;;;
20210520T234420;7.903;;;;;;;;;;;;;;
20210520T234920;7.903;;;;;;;;;;;;;;
20210520T235420;7.903;;;;;;;;;;;;;;
20210520T235920;7.903;;;;;;;;;;;;;;
20210521T000420;7.903;;;;;;;;;;;;;;
20210521T000920;7.903;;;;;;;;;;;;;;
20210521T001420;7.903;;;;;;;;;;;;;;
20210521T001920;7.903;;;;;;;;;;;;;;
20210521T002420;7.903;;;;;;;;;;;;;;
20210521T002920;7.903;;;;;;;;;;;;;;
20210521T003420;7.903;;;;;;;;;;;;;;
20210521T003920;7.903;;;;;;;;;;;;;;
20210521T004420;7.903;;;;;;;;;;;;;;
20210521T004920;7.903;;;;;;;;;;;;;;
20210521T005420;7.903;;;;;;;;;;;;;;
20210521T005920;7.903;;;;;;;;;;;;;;
20210521T010420;7.903;;;;;;;;;;;;;;
20210521T010920;7.903;;;;;;;;;;;;;;
20210521T011420;7.903;;;;;;;;;;;;;;
20210521T011920;7.903;;;;;;;;;;;;;;
20210521T012420;7.903;;;;;;;;;;;;;;
20210521T012920;7.903;;;;;;;;;;;;;;
20210521T013420;7.903;;;;;;;;;;;;;;
20210521T013920;7.903;;;;;;;;;;;;;;
20210521T014420;7.903;;;;;;;;;;;;;;
20210521T014920;7.903;;;;;;;;;;;;;;
20210521T015420;7.903;;;;;;;;;;;;;;
20210521T015920;7.903;;;;;;;;;;;;;;
20210521T020420;7.903;;;;;;;;;;;;;;
20210521T020920;7.903;;;;;;;;;;;;;;
20210521T021420;7.903;;;;;;;;;;;;;;
20210521T021920;7.903;;;;;;;;;;;;;;
20210521T022420;7.903;;;;;;;;;;;;;;
20210521T022920;7.903;;;;;;;;;;;;;;
20210521T023420;7.903;;;;;;;;;;;;;;
20210521T023920;7.903;;;;;;;;;;;;;;
20210521T024420;7.903;;;;;;;;;;;;;;
20210521T024920;7.903;;;;;;;;;;;;;;
20210521T025420;7.903;;;;;;;;;;;;;;
20210521T025920;7.903;;;;;;;;;;;;;;
20210521T030420;7.903;;;;;;;;;;;;;;
20210521T030920;7.903;;;;;;;;;;;;;;
20210521T031420;7.903;;;;;;;;;;;;;;
20210521T031920;7.903;;;;;;;;;;;;;;
20210521T032420;7.903;;;;;;;;;;;;;;
20210521T032920;7.903;;;;;;;;;;;;;;
20210521T033420;7.903;;;;;;;;;;;;;;
20210521T033920;7.903;;;;;;;;;;;;;;
20210521T034420;7.903;;;;;;;;;;;;;;
20210521T034920;7.903;;;;;;;;;;;;;;
20210521T035420;7.903;;;;;;;;;;;;;;
20210521T035920;7.903;;;;;;;;;;;;;;
20210521T040420;7.903;;;;;;;;;;;;;;
20210521T040920;7.903;;;;;;;;;;;;;;
20210521T041420;7.903;;;;;;;;;;;;;;
20210521T041920;7.903;;;;;;;;;;;;;;
20210521T042420;7.903;;;;;;;;;;;;;;
20210521T042920;7.903;;;;;;;;;;;;;;
20210521T043420;7.903;;;;;;;;;;;;;;
20210521T043920;7.903;;;;;;;;;;;;;;
20210521T044420;7.903;;;;;;;;;;;;;;
