MeterID;LOC;EntryTime;ExitTime
6_0;P1D3L1;20210203T114610;NULL
13_0;P1D3L2;20210203T114610;NULL
8_0;P1D3L3;20210203T114610;NULL
18_0;P1D3L4;20210203T114610;NULL
15_0;P1D3L5;20210203T114610;NULL
11_0;P1D3L6;20210203T114610;NULL
29_0;P1D3L7;20210203T114610;NULL
32_0;P1D3L8;20210203T114610;NULL
9_0;P1D3L9;20210203T114610;NULL
MainMeter_1;P1D3L10;20210203T114610;NULL
MainMeter_2;P1D3L11;20210203T114610;NULL
MainMeter_3;P1D3L12;20210203T114610;NULL
MainMeter_4;P1D3L13;20210203T114610;NULL
MainMeter_5;P1D3L14;20210203T114610;NULL
MainMeter_6;P1D3L15;20210203T114610;NULL
