EVID;EntryTime;ExitTime;Distance;MakeM
5ff7435c2a485347f4890ca7;20190910T102400;20211115T000000;;51acfefb-a26c-4451-be5f-92b85ce49471
6193c43bcbfa3451a2f7080f;20211116T144619;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
61364947408ef67aaa8429b7;20190910T102400;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5fcf827d4fd79430966bd42f;20190910T102400;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ffeb20faa92b82206f25e7b;20190910T102400;;;56855095-24ad-49dc-bce2-aec3327804b5
60512c657ae77b6ee7595d92;20190910T102400;;;aa8e3cda-c767-4c54-b898-ce02f5d6667f
605396ebf95ccf583fa13d21;20190910T102400;;;ef3366a4-05ee-4eba-ae9e-7045a5d501cc
601ffbcb561afc628bc2cabc;20190910T102400;;;81d2a4f5-8b0a-49da-8208-03d5ef5f6f12
617a887b8b32c601660b103e;20190910T102400;;;e8e646ea-ff3f-43a5-a8ef-714e1a468ace
617ac9033877af1c744cbeb8;20190910T102400;;;736d20f1-d137-43bc-b7c3-631de8254a08
61310207408ef67aaa839ba3;20190910T102400;;;5e3f361b-f66c-4365-88fe-654b6da75c3a
60294a27057f38413a8cfd51;20190910T102400;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
61d70bda94b38a16c1aee282;20190910T102400;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
61310dbf408ef67aaa839d7c;20190910T102400;;;7e832921-db54-4e7b-87fb-278744e6c644
613efad0408ef67aaa854ea7;20190910T102400;;;2cdbdc16-5e34-4b0d-84e4-776c989d7bc4
617c0216b3ed06542bbf8319;20190910T102400;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
617c4476b3ed06542bbf95ed;20190910T102400;;;5e3f361b-f66c-4365-88fe-654b6da75c3a
61a4e528cbfa3451a2fa2e45;20211129T143520;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff7417a2a485347f4890ca4;20190901T000000;2021118T000000;;7e832921-db54-4e7b-87fb-278744e6c644
612f9dd8408ef67aaa8367e0;20190910T102400;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff362bf4fd79430966bfe25;20190910T102400;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
6029157506a9486a3127e205;20190910T102400;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
60c77d54a0cedb1a892fdd05;20190910T102400;20201108T000000;;34f02bdb-b13d-45db-b70e-07bc4475e8d1
61827c24b3ed06542bc0cb08;20190910T102400;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5fbd7a004fd79430966b8bf2;20190910T102400;;;eb1bb1c8-1cb6-45e3-b88f-4234c5c5fd12
6052213ef95ccf583fa12525;20190910T102400;;;ef3366a4-05ee-4eba-ae9e-7045a5d501cc
61a939f7cbfa3451a2fb1166;20190910T102400;2021118T000000;;34f02bdb-b13d-45db-b70e-07bc4475e8d1
61b39080a8012a5f7daee798;20211129T143520;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
619f7131cbfa3451a2f912e2;20200401T084800;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
6050f8a07ae77b6ee7595a37;20200401T084800;;;5399bc5c-fddf-4ac6-8af4-522713530939
612f94f8408ef67aaa8366b4;20200401T084800;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
6050df4a7ae77b6ee7595856;20190910T102400;;;eb1bb1c8-1cb6-45e3-b88f-4234c5c5fd12
60d0dd047b437b05a4d68ff4;20201021T000000;;;56855095-24ad-49dc-bce2-aec3327804b5
5ff72d4163f80d5ecdf63316;20201021T000000;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff72d8463f80d5ecdf63319;20201116T000000;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
6134b2a8408ef67aaa84033d;20200925T000000;;;aa8e3cda-c767-4c54-b898-ce02f5d6667f
61b5e846a8012a5f7daf5e36;20210312T000000;;;eb1bb1c8-1cb6-45e3-b88f-4234c5c5fd12
5ff72af351ec94729bb8071d;20210312T000000;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff36d7d4fd79430966bfe28;20190901T000000;2021118T000000;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
60bb3df663fd037324482268;20211129T143520;;;eb1bb1c8-1cb6-45e3-b88f-4234c5c5fd12
60c890c4a0cedb1a892fe1b3;20190901T000000;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
614b7d3883d6411967397fd6;20190901T000001;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
61d1edba9b11a86d6337b0d0;20190901T000002;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff72f2693c63f66bc57ce5e;20190901T000004;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
