HCID;LOC;EntryTime;ExitTime;MakeM;SUBLOC
7_0;P1D3L1;20210203T114610;NULL;RoomHeater;2
11_0;P1D3L1;20210203T114610;NULL;RoomHeater;1
15_0;P1D3L1;20210203T114610;NULL;RoomHeater;4
25_0;P1D3L1;20210203T114610;NULL;RoomHeater;6
27_0;P1D3L1;20210203T114610;NULL;RoomHeater;7
29_1;P1D3L1;20210203T114610;NULL;HeaterCable;3
6_0;P1D3L2;20210203T114610;NULL;RoomHeater;2
8_0;P1D3L2;20210203T114610;NULL;RoomHeater;1
12_1;P1D3L2;20210203T114610;NULL;HeaterCable;3
6_0;P1D3L3;20210203T114610;NULL;RoomHeater;4
7_0;P1D3L3;20210203T114610;NULL;RoomHeater;6
10_0;P1D3L3;20210203T114610;NULL;RoomHeater;1
11_0;P1D3L3;20210203T114610;NULL;RoomHeater;2
9_0;P1D3L3;20210203T114610;NULL;HeaterCable;3
9_1;P1D3L3;20210203T114610;NULL;HeaterCable;3
8_1;P1D3L4;20210203T114610;NULL;RoomHeater;1
9_1;P1D3L4;20210203T114610;NULL;RoomHeater;2
6_0;P1D3L5;20210203T114610;NULL;RoomHeater;6
8_0;P1D3L5;20210203T114610;NULL;RoomHeater;5
10_0;P1D3L5;20210203T114610;NULL;RoomHeater;1
12_0;P1D3L5;20210203T114610;NULL;RoomHeater;2
14_1;P1D3L5;20210203T114610;NULL;HeaterCable;3
6_0;P1D3L6;20210203T114610;NULL;RoomHeater;4
8_0;P1D3L6;20210203T114610;NULL;RoomHeater;1
10_1;P1D3L6;20210203T114610;NULL;HeaterCable;4
7_0;P1D3L7;20210203T114610;NULL;RoomHeater;2
9_0;P1D3L7;20210203T114610;NULL;RoomHeater;1
11_0;P1D3L7;20210203T114610;NULL;RoomHeater;2
30_1;P1D3L7;20210203T114610;NULL;HeaterCable;3
37_0;P1D3L8;20210203T114610;NULL;RoomHeater;1
10_0;P1D3L9;20210203T114610;NULL;RoomHeater;1
12_0;P1D3L9;20210203T114610;NULL;RoomHeater;4
15_0;P1D3L9;20210203T114610;NULL;RoomHeater;6
17_1;P1D3L9;20210203T114610;NULL;HeaterCable;3
18_1;P1D3L9;20210203T114610;NULL;HeaterCable;7
HeatPump1;P1D3L10;20210310T000000;NULL;DHW_HeatP;NULL
HeatPump2;P1D3L10;20210310T000000;NULL;DHW_HeatP;NULL
HeatPump3;P1D3L10;20210310T000000;NULL;DHW_HeatP;NULL
Hotwater1;P1D3L10;20210310T000000;NULL;DHW_Tank;NULL
Hotwater2;P1D3L10;20210310T000000;NULL;DHW_Tank;NULL
HeatPump1;P1D3L11;20210310T000000;NULL;DHW_HeatP;NULL
Hotwater1;P1D3L11;20210310T000000;NULL;DHW_Tank;NULL
Hotwater2;P1D3L11;20210310T000000;NULL;DHW_Tank;NULL
HeatPump1;P1D3L12;20210310T000000;NULL;DHW_HeatP;NULL
HeatPump2;P1D3L12;20210310T000000;NULL;DHW_HeatP;NULL
Hotwater1;P1D3L12;20210310T000000;NULL;DHW_Tank;NULL
Hotwater2;P1D3L12;20210310T000000;NULL;DHW_Tank;NULL
HeatPump1;P1D3L13;20210310T000000;NULL;DHW_HeatP;NULL
HeatPump2;P1D3L13;20210310T000000;NULL;DHW_HeatP;NULL
HeatPump3;P1D3L13;20210310T000000;NULL;DHW_HeatP;NULL
Hotwater1;P1D3L13;20210310T000000;NULL;DHW_Tank;NULL
Hotwater2;P1D3L13;20210310T000000;NULL;DHW_Tank;NULL
HeatPump1;P1D3L14;20210310T000000;NULL;DHW_HeatP;NULL
HeatPump2;P1D3L14;20210310T000000;NULL;DHW_HeatP;NULL
HeatPump3;P1D3L14;20210310T000000;NULL;DHW_HeatP;NULL
Hotwater1;P1D3L14;20210310T000000;NULL;DHW_Tank;NULL
Hotwater2;P1D3L14;20210310T000000;NULL;DHW_Tank;NULL
HeatPump1;P1D3L15;20210310T000000;NULL;DHW_HeatP;NULL
HeatPump2;P1D3L15;20210310T000000;NULL;DHW_HeatP;NULL
Hotwater1;P1D3L15;20210310T000000;NULL;DHW_Tank;NULL
Hotwater2;P1D3L15;20210310T000000;NULL;DHW_Tank;NULL
