LOC;Demo;EntryTime;ExitTime;MeterID;MaxPower
P1D3L1;P1D3;20200618T134400;NULL;6_0;10
P1D3L2;P1D3;20200618T134400;NULL;13_0;10
P1D3L3;P1D3;20200618T134400;NULL;8_0;10
P1D3L4;P1D3;20200618T134400;NULL;18_0;10
P1D3L5;P1D3;20200618T134400;NULL;15_0;10
P1D3L6;P1D3;20200618T134400;NULL;11_0;10
P1D3L7;P1D3;20200618T134400;NULL;29_0;10
P1D3L8;P1D3;20200618T134400;NULL;32_0;10
P1D3L9;P1D3;20200618T134400;NULL;9_0;10
P1D3L10;P1D3;20200618T134400;NULL;MainMeter_1;10000
P1D3L11;P1D3;20200618T134400;NULL;MainMeter_2;10000
P1D3L12;P1D3;20200618T134400;NULL;MainMeter_3;10000
P1D3L13;P1D3;20200618T134400;NULL;MainMeter_4;10000
P1D3L14;P1D3;20200618T134400;NULL;MainMeter_5;10000
P1D3L15;P1D3;20200618T134400;NULL;MainMeter_6;10000
