HCID;SwID;Time;SetPt;AllowedDev;AST;AET
Hotwater1;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T090000
20210322T010000;0.00;;;;;
20210322T020000;7.10;;;;;
20210322T030000;6.60;;;;;
20210322T040000;6.72;;;;;
20210322T050000;6.86;;;;;
20210322T060000;8.16;;;;;
20210322T070000;7.88;;;;;
20210322T080000;9.74;;;;;
20210322T090000;9.75;;;;;
20210322T100000;9.77;;;;;
20210322T110000;11.83;;;;;
20210322T120000;12.31;;;;;
20210322T130000;12.46;;;;;
20210322T140000;9.80;;;;;
20210322T150000;8.22;;;;;
20210322T160000;8.86;;;;;
20210322T170000;11.99;;;;;
20210322T180000;9.92;;;;;
20210322T190000;9.73;;;;;
20210322T200000;9.74;;;;;
20210322T210000;9.79;;;;;
20210322T220000;9.74;;;;;
20210322T230000;8.93;;;;;
20210323T000000;8.15;;;;;
20210323T010000;8.88;;;;;
20210323T020000;6.77;;;;;
20210323T030000;6.53;;;;;
20210323T040000;6.84;;;;;
20210323T050000;7.21;;;;;
20210323T060000;6.69;;;;;
20210323T070000;8.97;;;;;
20210323T080000;9.77;;;;;
20210323T090000;11.96;;;;;
20210323T100000;8.93;;;;;
20210323T110000;8.87;;;;;
20210323T120000;8.95;;;;;
20210323T130000;9.81;;;;;
20210323T140000;8.10;;;;;
20210323T150000;9.00;;;;;
20210323T160000;8.81;;;;;
20210323T170000;9.80;;;;;
20210323T180000;12.80;;;;;
20210323T190000;9.76;;;;;
20210323T200000;8.87;;;;;
20210323T210000;9.79;;;;;
20210323T220000;8.21;;;;;
20210323T230000;9.80;;;;;
20210324T000000;8.01;;;;;
20210324T010000;6.76;;;;;
20210324T020000;6.90;;;;;
20210324T030000;6.96;;;;;
20210324T040000;6.53;;;;;
20210324T050000;6.36;;;;;
20210324T060000;7.92;;;;;
20210324T070000;8.82;;;;;
20210324T080000;9.76;;;;;
20210324T090000;9.74;;;;;
20210324T100000;9.78;;;;;
20210324T110000;11.90;;;;;
20210324T120000;8.92;;;;;
20210324T130000;8.87;;;;;
20210324T140000;8.99;;;;;
20210324T150000;12.06;;;;;
20210324T160000;9.77;;;;;
20210324T170000;10.52;;;;;
20210324T180000;11.04;;;;;
20210324T190000;9.76;;;;;
20210324T200000;9.76;;;;;
20210324T210000;9.81;;;;;
20210324T220000;9.11;;;;;
20210324T230000;8.86;;;;;
20210325T000000;8.06;;;;;
20210325T010000;8.96;;;;;
20210325T020000;8.82;;;;;
20210325T030000;9.76;;;;;
20210325T040000;8.00;;;;;
20210325T050000;6.95;;;;;
20210325T060000;0.00;;;;;
20210325T070000;16.38;;;;;
20210325T080000;9.82;;;;;
20210325T090000;9.83;;;;;
20210325T100000;11.02;;;;;
20210325T110000;8.23;;;;;
20210325T120000;8.37;;;;;
20210325T130000;9.02;;;;;
20210325T140000;8.90;;;;;
20210325T150000;9.84;;;;;
20210325T160000;9.79;;;;;
20210325T170000;12.20;;;;;
20210325T180000;12.17;;;;;
20210325T190000;9.05;;;;;
20210325T200000;9.54;;;;;
20210325T210000;10.49;;;;;
