CPID;LOC;CPName;EntryTime;ExitTime;ChrgCap;Com;Connector
7b4e3fd3;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
12358e5a;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
a032d24f;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
a9bbf406;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
7cd4fa73;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
7f245e44;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
d5f08e21;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
f8d7929f;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
2f3ab5b0;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
0dbc4352;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
ad3ea330;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
96752c9c;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
23235ae2;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
6a727cdc;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
b0fa77a2;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
e719bd99;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
5e41ca54;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
cf4a9413;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
c1018031;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
6cd2fdff;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
c7765cc1;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
1da99275;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;20201108T000000;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
b2a0f0d6;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
d0d7dfe5;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
cc36b7fb;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
19bb314f;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
32c16f37;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
494bd1fb;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20200401T084800;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
14c0911f;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20200401T084800;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
a85b7c44;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20200401T084800;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
8a5ab27c;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20190910T102400;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
2aaa776f;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20201021T000000;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
9e362795;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20201021T000000;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
bc36f7c6;P1D1L1;Schneider EVLink Smart Wallbox 1.6-J;20201021T000000;NULL;7.4;smart energy management;"[{\CPType\"":\""AC\"",\""ConnectorType\"":\""Type 2\""}]"""
