EVID;EntryTime;ExitTime;Distance;MakeM
5f75a2dd89804d7aa5bd9037;20201001T093525;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5f75ba4989804d7aa5bd903a;20201001T111521;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5f75bb2b89804d7aa5bd903d;20201001T111907;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5f75ca3e89804d7aa5bd9040;20201001T122326;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5f9818bdfb396f3f45d9722b;20201027T125525;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5f9820d7fb396f3f45d9722e;20201027T132959;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5fbd7a004fd79430966b8bf2;20201124T212416;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5fcf827d4fd79430966bd42f;20201208T134117;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff362bf4fd79430966bfe25;20210104T184727;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff36d7d4fd79430966bfe28;20210104T193317;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff62c66eda1382b2382bd03;20210106T213222;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff72af351ec94729bb8071d;20210107T153827;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff72d4163f80d5ecdf63316;20210107T154817;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff72d8463f80d5ecdf63319;20210107T154924;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff72f2693c63f66bc57ce5e;20210107T155622;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff7308393c63f66bc57ce61;20210107T160211;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
5ff7417a2a485347f4890ca4;20210107T171434;;;7e832921-db54-4e7b-87fb-278744e6c644
5ff7435c2a485347f4890ca7;20210107T172236;;;51acfefb-a26c-4451-be5f-92b85ce49471
5ffeb20faa92b82206f25e7b;20210113T084047;;;56855095-24ad-49dc-bce2-aec3327804b5
601ffbcb561afc628bc2cabc;20210207T144011;;;81d2a4f5-8b0a-49da-8208-03d5ef5f6f12
6029157506a9486a3127e205;20210214T122005;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
60294a27057f38413a8cfd51;20210214T160455;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
6050df4a7ae77b6ee7595856;20210316T163938;;;eb1bb1c8-1cb6-45e3-b88f-4234c5c5fd12
6050f1417ae77b6ee75959cc;20210316T175617;;;7e832921-db54-4e7b-87fb-278744e6c644
6050f8a07ae77b6ee7595a37;20210316T182744;;;5399bc5c-fddf-4ac6-8af4-522713530939
6050f8a27ae77b6ee7595a3a;20210316T182746;;;7e832921-db54-4e7b-87fb-278744e6c644
60512c657ae77b6ee7595d92;20210316T220837;;;aa8e3cda-c767-4c54-b898-ce02f5d6667f
6051e5617ae77b6ee7596c57;20210317T111753;;;aa8e3cda-c767-4c54-b898-ce02f5d6667f
6052213ef95ccf583fa12525;20210317T153318;;;ef3366a4-05ee-4eba-ae9e-7045a5d501cc
605396ebf95ccf583fa13d21;20210318T180739;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
6057b72ef95ccf583fa177c7;20210321T211422;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
606c67c363fd037324440a8c;20210406T135307;;;5e3f361b-f66c-4365-88fe-654b6da75c3a
6076fbed63fd037324449148;20210414T142757;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
609049b863fd03732445cf3d;20210503T190632;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
6092a3ba63fd03732445f7a6;20210505T135506;;;8ea88dcc-4912-4493-a910-5b37a8a2eb66
