SensorID;LOC;EntryTime;ExitTime;MakeM;SUBLOC
10_0;P1D3L1;20210203T114610;NULL;TempSensorF;2
12_0;P1D3L1;20210203T114610;NULL;TempSensorF;1
17_0;P1D3L1;20210203T114610;NULL;TempSensorF;4
26_0;P1D3L1;20210203T114610;NULL;TempSensorF;6
28_0;P1D3L1;20210203T114610;NULL;TempSensorF;7
29_2;P1D3L1;20210203T114610;NULL;TempSensorF;3
7_0;P1D3L2;20210203T114610;NULL;TempSensorF;2
9_0;P1D3L2;20210203T114610;NULL;TempSensorF;1
12_2;P1D3L2;20210203T114610;NULL;TempSensorF;3
9_2;P1D3L3;20210203T114610;NULL;TempSensorF;3
13_0;P1D3L3;20210203T114610;NULL;TempSensorF;4
14_0;P1D3L3;20210203T114610;NULL;TempSensorF;6
15_0;P1D3L3;20210203T114610;NULL;TempSensorF;1
16_0;P1D3L3;20210203T114610;NULL;TempSensorF;2
13_0;P1D3L4;20210203T114610;NULL;TempSensorF;2
20_0;P1D3L4;20210203T114610;NULL;TempSensorF;1
7_0;P1D3L5;20210203T114610;NULL;TempSensorF;6
9_0;P1D3L5;20210203T114610;NULL;TempSensorF;5
11_0;P1D3L5;20210203T114610;NULL;TempSensorF;1
13_0;P1D3L5;20210203T114610;NULL;TempSensorF;2
14_2;P1D3L5;20210203T114610;NULL;TempSensorF;3
7_0;P1D3L6;20210203T114610;NULL;TempSensorF;4
9_0;P1D3L6;20210203T114610;NULL;TempSensorF;1
10_2;P1D3L6;20210203T114610;NULL;TempSensorF;3
10_0;P1D3L7;20210203T114610;NULL;TempSensorF;2
24_0;P1D3L7;20210203T114610;NULL;TempSensorF;5
30_2;P1D3L7;20210203T114610;NULL;TempSensorF;3
9_0;P1D3L8;20210203T114610;NULL;TempSensorF;6
12_0;P1D3L8;20210203T114610;NULL;TempSensorF;1
23_0;P1D3L8;20210203T114610;NULL;TempSensorF;2
25_0;P1D3L8;20210203T114610;NULL;TempSensorF;3
26_0;P1D3L8;20210203T114610;NULL;TempSensorF;4
11_0;P1D3L9;20210203T114610;NULL;TempSensorF;1
13_0;P1D3L9;20210203T114610;NULL;TempSensorF;4
14_0;P1D3L9;20210203T114610;NULL;TempSensorF;6
17_2;P1D3L9;20210203T114610;NULL;TempSensorF;3
18_2;P1D3L9;20210203T114610;NULL;TempSensorF;7
