PriceModelID;TariffID;EntryTime;ExitTime;StartTime;EndTime;Type;PriceType;Period;Unit;Price
GridTariff1;TimeOfUseWinter1;20201101T000000;;20201101T000000;20210331T235959;;Price per kWh;;NOK;0.08
GridTariff1;TimeOfUseSummer1;20201101T000000;;20210401T000000;20211031T235959;;Price per kWh;;NOK;0.049
GridTariff1;TimeOfUseWinter2;20211101T000000;;20211101T000000;20220331T235959;;Price per kWh;;NOK;0.08
GridTariff1;TimeOfUseSummer2;20211101T000000;;20220401T000000;20221031T235959;;Price per kWh;;NOK;0.049
FixedGridTariff1;FixedPrice1;20200101T000000;;20200101T000000;20220131T000000;;Price per time unit;Month;NOK;273
PeakTariff1;TimeOfUse1;20211101T000000;;20210801T000000;20211031T235959;;Price per kW ;;NOK;22
PeakTariff1;TimeOfUse2;20211101T000000;;2021101T000000;202111310235959;;Price per kW ;;NOK;67
PeakTariff1;TimeOfUse3;20211101T000000;;20211201T000000;20220331T235959;;Price per kW ;;NOK;120
ElectricityTariff1;ElecPrice1;20200101T000000;;20200101T000000;20220331T000000;;Price per kWh;;NOK;0.2
Charging1;PriorityFee1;20200101T000000;;20200101T000000;20220331T000000;Priority;Price per kWh;;NOK;0.8
Charging1;SubcriptionFee1;20200101T000000;;20200101T000000;20220331T000000;;Price per time unit;Month;NOK;62.5
Charging1;ChrPrice1;20200101T000000;;20200101T000000;20220331T000000;;Price per kWh;;NOK;1.70
Service1;ServiceFee1;20200101T000000;;20200101T000000;20220331T000000;;Price per kWh;;NOK;1.615
SurplusTariff1;SurplusPrice1;20200101T000000;;20200101T000000;20220331T000000;;Price per kWh;;NOK;0
