HCID;SwID;Time;SetPt;AllowedDev;AST;AET
HeatPump1;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T150000
20210322T010000;1.03;;;;;
20210322T020000;1.01;;;;;
20210322T030000;1.00;;;;;
20210322T040000;0.90;;;;;
20210322T050000;0.98;;;;;
20210322T060000;0.94;;;;;
20210322T070000;1.03;;;;;
20210322T080000;1.02;;;;;
20210322T090000;0.82;;;;;
20210322T100000;0.89;;;;;
20210322T110000;0.89;;;;;
20210322T120000;0.86;;;;;
20210322T130000;0.85;;;;;
20210322T140000;0.88;;;;;
20210322T150000;0.83;;;;;
20210322T160000;0.79;;;;;
20210322T170000;0.89;;;;;
20210322T180000;1.00;;;;;
20210322T190000;0.99;;;;;
20210322T200000;1.03;;;;;
20210322T210000;1.02;;;;;
20210322T220000;0.90;;;;;
20210322T230000;0.92;;;;;
20210323T000000;0.63;;;;;
20210323T010000;0.00;;;;;
20210323T020000;0.00;;;;;
20210323T030000;0.00;;;;;
20210323T040000;0.00;;;;;
20210323T050000;0.00;;;;;
20210323T060000;0.71;;;;;
20210323T070000;1.10;;;;;
20210323T080000;0.94;;;;;
20210323T090000;1.06;;;;;
20210323T100000;1.03;;;;;
20210323T110000;0.97;;;;;
20210323T120000;0.90;;;;;
20210323T130000;0.83;;;;;
20210323T140000;0.69;;;;;
20210323T150000;0.75;;;;;
20210323T160000;0.91;;;;;
20210323T170000;0.95;;;;;
20210323T180000;1.00;;;;;
20210323T190000;1.04;;;;;
20210323T200000;0.99;;;;;
20210323T210000;0.99;;;;;
20210323T220000;0.91;;;;;
20210323T230000;0.88;;;;;
20210324T000000;0.82;;;;;
20210324T010000;0.75;;;;;
20210324T020000;0.34;;;;;
20210324T030000;0.00;;;;;
20210324T040000;0.00;;;;;
20210324T050000;0.00;;;;;
20210324T060000;0.78;;;;;
20210324T070000;1.04;;;;;
20210324T080000;0.92;;;;;
20210324T090000;1.07;;;;;
20210324T100000;0.88;;;;;
20210324T110000;0.93;;;;;
20210324T120000;0.90;;;;;
20210324T130000;0.74;;;;;
20210324T140000;0.27;;;;;
20210324T150000;0.77;;;;;
20210324T160000;0.95;;;;;
20210324T170000;0.97;;;;;
20210324T180000;1.09;;;;;
20210324T190000;1.09;;;;;
20210324T200000;1.05;;;;;
20210324T210000;1.03;;;;;
20210324T220000;0.99;;;;;
20210324T230000;0.95;;;;;
20210325T000000;1.05;;;;;
20210325T010000;0.97;;;;;
20210325T020000;0.76;;;;;
20210325T030000;0.00;;;;;
20210325T040000;0.00;;;;;
20210325T050000;0.00;;;;;
20210325T060000;0.79;;;;;
20210325T070000;1.03;;;;;
20210325T080000;0.99;;;;;
20210325T090000;0.95;;;;;
20210325T100000;0.93;;;;;
20210325T110000;1.06;;;;;
20210325T120000;0.99;;;;;
20210325T130000;0.80;;;;;
20210325T140000;0.50;;;;;
20210325T150000;0.91;;;;;
20210325T160000;0.95;;;;;
20210325T170000;0.81;;;;;
20210325T180000;1.08;;;;;
20210325T190000;1.16;;;;;
20210325T200000;1.11;;;;;
20210325T210000;1.01;;;;;
20210325T220000;0.96;;;;;
20210325T230000;0.95;;;;;
20210326T000000;0.95;;;;;
20210326T010000;0.95;;;;;
20210326T020000;0.94;;;;;
20210326T030000;0.83;;;;;
20210326T040000;0.49;;;;;
20210326T050000;0.00;;;;;
20210326T060000;0.81;;;;;
20210326T070000;0.92;;;;;
20210326T080000;0.93;;;;;
20210326T090000;0.91;;;;;
20210326T100000;0.91;;;;;
20210326T110000;0.88;;;;;
20210326T120000;1.01;;;;;
20210326T130000;0.79;;;;;
20210326T140000;0.99;;;;;
20210326T150000;0.93;;;;;
20210326T160000;0.87;;;;;
20210326T170000;1.00;;;;;
20210326T180000;0.87;;;;;
20210326T190000;1.03;;;;;
20210326T200000;0.89;;;;;
20210326T210000;0.98;;;;;
20210326T220000;0.93;;;;;
20210326T230000;1.02;;;;;
20210327T000000;1.00;;;;;
20210327T010000;0.98;;;;;
20210327T020000;0.83;;;;;
20210327T030000;0.90;;;;;
