HCID;SwID;Time;SetPt;AllowedDev;AST;AET
Hotwater1;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T090000
20210322T010000;0.00;;;;;
20210322T020000;2.28;;;;;
20210322T030000;2.22;;;;;
20210322T040000;2.43;;;;;
20210322T050000;2.98;;;;;
20210322T060000;2.37;;;;;
20210322T070000;2.74;;;;;
20210322T080000;3.21;;;;;
20210322T090000;2.34;;;;;
20210322T100000;3.45;;;;;
20210322T110000;2.56;;;;;
20210322T120000;2.44;;;;;
20210322T130000;3.22;;;;;
20210322T140000;2.87;;;;;
20210322T150000;2.34;;;;;
20210322T160000;2.92;;;;;
20210322T170000;2.61;;;;;
20210322T180000;2.94;;;;;
20210322T190000;3.05;;;;;
20210322T200000;2.77;;;;;
20210322T210000;2.99;;;;;
20210322T220000;2.80;;;;;
20210322T230000;3.39;;;;;
20210323T000000;2.66;;;;;
20210323T010000;1.64;;;;;
20210323T020000;1.04;;;;;
20210323T030000;0.57;;;;;
20210323T040000;0.00;;;;;
20210323T050000;0.55;;;;;
20210323T060000;0.46;;;;;
20210323T070000;2.25;;;;;
20210323T080000;3.68;;;;;
20210323T090000;3.73;;;;;
20210323T100000;3.54;;;;;
20210323T110000;1.93;;;;;
20210323T120000;2.93;;;;;
20210323T130000;2.71;;;;;
20210323T140000;2.57;;;;;
20210323T150000;2.46;;;;;
20210323T160000;3.76;;;;;
20210323T170000;2.69;;;;;
20210323T180000;3.18;;;;;
20210323T190000;3.30;;;;;
20210323T200000;3.08;;;;;
20210323T210000;4.20;;;;;
20210323T220000;3.36;;;;;
20210323T230000;3.31;;;;;
20210324T000000;4.92;;;;;
20210324T010000;2.50;;;;;
20210324T020000;2.74;;;;;
20210324T030000;1.26;;;;;
20210324T040000;0.00;;;;;
20210324T050000;0.41;;;;;
20210324T060000;0.55;;;;;
20210324T070000;2.16;;;;;
20210324T080000;5.83;;;;;
20210324T090000;4.90;;;;;
20210324T100000;3.44;;;;;
20210324T110000;4.67;;;;;
20210324T120000;2.27;;;;;
20210324T130000;3.22;;;;;
20210324T140000;2.77;;;;;
20210324T150000;0.84;;;;;
20210324T160000;2.25;;;;;
20210324T170000;2.91;;;;;
20210324T180000;3.44;;;;;
20210324T190000;3.09;;;;;
20210324T200000;3.24;;;;;
20210324T210000;4.39;;;;;
20210324T220000;3.14;;;;;
20210324T230000;3.48;;;;;
20210325T000000;3.90;;;;;
20210325T010000;2.49;;;;;
20210325T020000;2.45;;;;;
20210325T030000;2.32;;;;;
20210325T040000;0.00;;;;;
20210325T050000;0.26;;;;;
20210325T060000;0.00;;;;;
20210325T070000;2.53;;;;;
20210325T080000;3.57;;;;;
20210325T090000;4.14;;;;;
20210325T100000;3.42;;;;;
20210325T110000;3.55;;;;;
20210325T120000;3.29;;;;;
20210325T130000;2.93;;;;;
20210325T140000;2.45;;;;;
20210325T150000;1.65;;;;;
20210325T160000;2.81;;;;;
20210325T170000;2.74;;;;;
20210325T180000;2.62;;;;;
20210325T190000;3.46;;;;;
20210325T200000;3.11;;;;;
20210325T210000;4.31;;;;;
